REPUBLICAN,DEM,year,state,state_po,county_name,county_fips,candidatevotes
2039,2510,2000,OKLAHOMA,OK,HASKELL,40061,4628
24453,30345,2004,MAINE,ME,ANDROSCOGGIN,23001,55842
6462,3569,2020,WISCONSIN,WI,BURNETT,55013,10141
4679,1219,2008,KENTUCKY,KY,CASEY,21045,5957
1679,895,2004,ILLINOIS,IL,BROWN,17009,2585
12625,15980,2000,OHIO,OH,BELMONT,39013,30141
106506,71977,2012,KANSAS,KS,SEDGWICK,20173,182895
1049,299,2016,TEXAS,TX,CRANE,48103,1384
0,0,2008,ALASKA,AK,DISTRICT 99,2099,0
24460,21459,2008,MISSOURI,MO,PLATTE,29165,46480
10268,4659,2012,TENNESSEE,TN,CHEATHAM,47021,15182
29141,26706,2020,CONNECTICUT,CT,WINDHAM,9015,57082
11623,7334,2008,TEXAS,TX,WALKER,48471,19146
4092,5045,2000,IOWA,IA,BUCHANAN,19019,9410
6665,2045,2016,MISSOURI,MO,ANDREW,29003,9140
3989,6069,2020,NORTH CAROLINA,NC,NORTHAMPTON,37131,10110
15494,6809,2016,CALIFORNIA,CA,TEHAMA,6103,23908
3715,3553,2008,VIRGINIA,VA,ALLEGHANY,51005,7369
3976,745,2020,LOUISIANA,LA,CALDWELL,22021,4762
2716,2674,2012,CALIFORNIA,CA,TRINITY,6105,5674
3617,965,2016,NEBRASKA,NE,BOX BUTTE,31013,4924
4950,1232,2020,TENNESSEE,TN,STEWART,47161,6296
7480,3305,2020,MINNESOTA,MN,MARTIN,27091,11009
39896,41524,2004,ILLINOIS,IL,CHAMPAIGN,17019,82434
2511,821,2016,SOUTH DAKOTA,SD,FALL RIVER,46047,3563
10888,22079,2016,CALIFORNIA,CA,MENDOCINO,6045,37477
8823,7437,2016,MINNESOTA,MN,MOWER,27099,17715
3094,2122,2012,IOWA,IA,SAC,19161,5291
631,259,2004,SOUTH DAKOTA,SD,HYDE,46069,900
39684,33578,2000,VIRGINIA,VA,CHESAPEAKE,51550,74585
2594,1837,2008,MISSOURI,MO,LEWIS,29111,4502
2269,2919,2008,MICHIGAN,MI,LAKE,26085,5292
41051,41121,2004,ILLINOIS,IL,PEORIA,17143,82771
25382,11883,2008,MISSOURI,MO,CHRISTIAN,29043,37697
35691,41824,2016,NORTH CAROLINA,NC,PITT,37147,80527
11078,37597,2012,TEXAS,TX,WEBB,48479,49110
2053,1060,2012,GEORGIA,GA,WILCOX,13315,3129
12641,11100,2012,NEW YORK,NY,LIVINGSTON,36051,26770
11299,5560,2000,WASHINGTON,WA,STEVENS,53065,17995
30589,19659,2012,OHIO,OH,GEAUGA,39055,50997
23842,24313,2012,NORTH CAROLINA,NC,NASH,37127,48492
6168,2491,2004,COLORADO,CO,LOGAN,8075,8766
3162,1926,2004,NEW MEXICO,NM,SIERRA,35051,5157
19754,18216,2004,WASHINGTON,WA,ISLAND,53029,38559
58238,14824,2004,GEORGIA,GA,CHEROKEE,13057,73587
2146,1381,2004,WEST VIRGINIA,WV,PENDLETON,54071,3544
4312,4736,2004,IOWA,IA,CLAYTON,19043,9168
18652,10356,2016,OHIO,OH,ROSS,39141,30380
7464,2985,2020,ALASKA,AK,DISTRICT 29,2029,10747
11222,3790,2008,TEXAS,TX,UPSHUR,48459,15164
